Channel Group,Date,Day of week,Metrics,Time end,Time start,Values
A TV,5/3/2021,Friday,45-54 Yrs Rating%,9:00:00,8:30:00,0
A TV,5/3/2021,Friday,55-64 Yrs Rating%,9:00:00,8:30:00,0.34
A TV,5/3/2021,Friday,65+ Rating%,9:00:00,8:30:00,0
A TV,5/3/2021,Friday,All target Rating%,9:00:00,8:30:00,0.19
A TV,5/3/2021,Friday,Female Rating%,9:00:00,8:30:00,0.1
A TV,5/3/2021,Friday,Ferizaj Region Rating%,9:00:00,8:30:00,0
A TV,5/3/2021,Friday,Gjakova Region Rating%,9:00:00,8:30:00,0
A TV,5/3/2021,Friday,Gjilan Region Rating%,9:00:00,8:30:00,0
A TV,5/3/2021,Friday,Male Rating%,9:00:00,8:30:00,0.27
A TV,5/3/2021,Friday,Mitrovica Region Rating%,9:00:00,8:30:00,0
A TV,5/3/2021,Friday,Peja Region Rating%,9:00:00,8:30:00,0.28
A TV,5/3/2021,Friday,Prishtina Region Rating%,9:00:00,8:30:00,0.09
A TV,5/3/2021,Friday,Prizren Region Rating%,9:00:00,8:30:00,0.7
A TV,5/3/2021,Friday,Rurall Rating%,9:00:00,8:30:00,0
A TV,5/3/2021,Friday,Urbann Rating%,9:00:00,8:30:00,0.41
A TV,5/3/2021,Friday,1-14 Yrs Rating%,9:30:00,9:00:00,2.18
A TV,5/3/2021,Friday,15-19 Yrs Rating%,9:30:00,9:00:00,0.18
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,9:30:00,9:00:00,4.03
A TV,5/3/2021,Friday,25-34 Yrs Rating%,9:30:00,9:00:00,0.29
A TV,5/3/2021,Friday,35-44 Yrs Rating%,9:30:00,9:00:00,3.36
A TV,5/3/2021,Friday,45-54 Yrs Rating%,9:30:00,9:00:00,0.42
A TV,5/3/2021,Friday,55-64 Yrs Rating%,9:30:00,9:00:00,0.05
A TV,5/3/2021,Friday,65+ Rating%,9:30:00,9:00:00,0
A TV,5/3/2021,Friday,All target Rating%,9:30:00,9:00:00,1.5
A TV,5/3/2021,Friday,Female Rating%,9:30:00,9:00:00,0.74
A TV,5/3/2021,Friday,Ferizaj Region Rating%,9:30:00,9:00:00,0
A TV,5/3/2021,Friday,Gjakova Region Rating%,9:30:00,9:00:00,0
A TV,5/3/2021,Friday,Gjilan Region Rating%,9:30:00,9:00:00,0
A TV,5/3/2021,Friday,Male Rating%,9:30:00,9:00:00,2.24
A TV,5/3/2021,Friday,Mitrovica Region Rating%,9:30:00,9:00:00,0
A TV,5/3/2021,Friday,Peja Region Rating%,9:30:00,9:00:00,2.13
A TV,5/3/2021,Friday,Prishtina Region Rating%,9:30:00,9:00:00,0.19
A TV,5/3/2021,Friday,Prizren Region Rating%,9:30:00,9:00:00,6.38
A TV,5/3/2021,Friday,Rurall Rating%,9:30:00,9:00:00,0.49
A TV,5/3/2021,Friday,Urbann Rating%,9:30:00,9:00:00,2.72
A TV,5/3/2021,Friday,1-14 Yrs Rating%,10:00:00,9:30:00,3.51
A TV,5/3/2021,Friday,15-19 Yrs Rating%,10:00:00,9:30:00,2.64
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,10:00:00,9:30:00,5.74
A TV,5/3/2021,Friday,25-34 Yrs Rating%,10:00:00,9:30:00,0.38
A TV,5/3/2021,Friday,35-44 Yrs Rating%,10:00:00,9:30:00,4.21
A TV,5/3/2021,Friday,45-54 Yrs Rating%,10:00:00,9:30:00,2.82
A TV,5/3/2021,Friday,55-64 Yrs Rating%,10:00:00,9:30:00,0
A TV,5/3/2021,Friday,65+ Rating%,10:00:00,9:30:00,2.33
A TV,5/3/2021,Friday,All target Rating%,10:00:00,9:30:00,2.8
A TV,5/3/2021,Friday,Female Rating%,10:00:00,9:30:00,1.95
A TV,5/3/2021,Friday,Ferizaj Region Rating%,10:00:00,9:30:00,0
A TV,5/3/2021,Friday,Gjakova Region Rating%,10:00:00,9:30:00,0
A TV,5/3/2021,Friday,Gjilan Region Rating%,10:00:00,9:30:00,0.64
A TV,5/3/2021,Friday,Male Rating%,10:00:00,9:30:00,3.63
A TV,5/3/2021,Friday,Mitrovica Region Rating%,10:00:00,9:30:00,0.03
A TV,5/3/2021,Friday,Peja Region Rating%,10:00:00,9:30:00,2.96
A TV,5/3/2021,Friday,Prishtina Region Rating%,10:00:00,9:30:00,3.71
A TV,5/3/2021,Friday,Prizren Region Rating%,10:00:00,9:30:00,7.04
A TV,5/3/2021,Friday,Rurall Rating%,10:00:00,9:30:00,2.7
A TV,5/3/2021,Friday,Urbann Rating%,10:00:00,9:30:00,2.91
A TV,5/3/2021,Friday,1-14 Yrs Rating%,10:30:00,10:00:00,3.54
A TV,5/3/2021,Friday,15-19 Yrs Rating%,10:30:00,10:00:00,3.35
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,10:30:00,10:00:00,5.78
A TV,5/3/2021,Friday,25-34 Yrs Rating%,10:30:00,10:00:00,0.4
A TV,5/3/2021,Friday,35-44 Yrs Rating%,10:30:00,10:00:00,4.07
A TV,5/3/2021,Friday,45-54 Yrs Rating%,10:30:00,10:00:00,3.33
A TV,5/3/2021,Friday,55-64 Yrs Rating%,10:30:00,10:00:00,0.02
A TV,5/3/2021,Friday,65+ Rating%,10:30:00,10:00:00,2.28
A TV,5/3/2021,Friday,All target Rating%,10:30:00,10:00:00,2.92
A TV,5/3/2021,Friday,Female Rating%,10:30:00,10:00:00,2.03
A TV,5/3/2021,Friday,Ferizaj Region Rating%,10:30:00,10:00:00,0
A TV,5/3/2021,Friday,Gjakova Region Rating%,10:30:00,10:00:00,0
A TV,5/3/2021,Friday,Gjilan Region Rating%,10:30:00,10:00:00,0.36
A TV,5/3/2021,Friday,Male Rating%,10:30:00,10:00:00,3.79
A TV,5/3/2021,Friday,Mitrovica Region Rating%,10:30:00,10:00:00,0.05
A TV,5/3/2021,Friday,Peja Region Rating%,10:30:00,10:00:00,2.96
A TV,5/3/2021,Friday,Prishtina Region Rating%,10:30:00,10:00:00,3.83
A TV,5/3/2021,Friday,Prizren Region Rating%,10:30:00,10:00:00,7.72
